chr	coord1	coord2	coord3	coord4	strand	type
Chr12	10771270	10772247	10771366	10772247	+	AltD
Chr2	8979499	8979340	8979494	8979340	-	AltD
Chr2	4168154	4167750	4167948	4167750	-	AltD
Chr8	22093271	22092763	22093024	22092763	-	AltD
Chr5	12995844	12996155	12995866	12996155	+	AltD
Chr1	33792362	33792568	33792417	33792568	+	AltD
Chr12	2133808	2133290	2133775	2133290	-	AltD
Chr11	24230522	24232468	24231944	24232468	+	AltD
Chr9	18362620	18362705	18362633	18362705	+	AltD
Chr11	27117817	27116887	27117149	27116887	-	AltD
Chr7	17201018	17200534	17200683	17200534	-	AltD
Chr3	25507712	25507615	25507692	25507615	-	AltD
Chr10	824918	824822	824914	824822	-	AltD
Chr3	11654999	11655127	11655015	11655127	+	AltD
Chr9	16478941	16479029	16478945	16479029	+	AltD
Chr1	14800555	14800812	14800561	14800812	+	AltD
Chr7	2085255	2085174	2085250	2085174	-	AltD
Chr4	35094948	35093428	35094478	35093428	-	AltD
Chr5	19365229	19364818	19365225	19364818	-	AltD
Chr2	29060754	29060489	29060727	29060489	-	AltD
Chr7	28745572	28745461	28745542	28745461	-	AltD
Chr5	182998	182739	182866	182739	-	AltD
Chr3	26957613	26957806	26957616	26957806	+	AltD
Chr3	9768525	9768407	9768496	9768407	-	AltD
Chr10	11097093	11096323	11097089	11096323	-	AltD
Chr9	490383	490201	490366	490201	-	AltD
Chr3	8912641	8911546	8911873	8911546	-	AltD
Chr5	19365659	19364818	19365225	19364818	-	AltD
Chr11	9160541	9159480	9160288	9159480	-	AltD
Chr12	2855879	2855777	2855861	2855777	-	AltD
Chr4	22902968	22904401	22902971	22904401	+	AltD
Chr3	31779024	31778683	31779001	31778683	-	AltD
Chr6	17871738	17871349	17871701	17871349	-	AltD
Chr6	2019574	2020370	2020124	2020370	+	AltD
Chr8	4066579	4068235	4067326	4068235	+	AltD
Chr11	2844496	2843702	2844438	2843702	-	AltD
Chr10	19999568	19999752	19999594	19999752	+	AltD
Chr10	21624515	21629185	21627396	21629185	+	AltD
Chr7	14610508	14613129	14611832	14613129	+	AltD
Chr3	3093905	3094362	3093989	3094362	+	AltD
Chr2	24273514	24272883	24273355	24272883	-	AltD
Chr1	7579711	7579622	7579694	7579622	-	AltD
Chr1	40979635	40980320	40979643	40980320	+	AltD
Chr12	26904673	26904813	26904721	26904813	+	AltD
Chr6	2804109	2804242	2804122	2804242	+	AltD
Chr8	10103480	10103567	10103484	10103567	+	AltD
Chr2	30463386	30461254	30463370	30461254	-	AltD
Chr5	17812288	17812796	17812310	17812796	+	AltD
Chr2	32377693	32377818	32377740	32377818	+	AltD
Chr3	28017585	28015874	28016071	28015874	-	AltD
Chr8	24678552	24678781	24678607	24678781	+	AltD
Chr9	14389745	14388798	14389443	14388798	-	AltD
Chr8	10258769	10258888	10258777	10258888	+	AltD
Chr5	8692628	8692242	8692604	8692242	-	AltD
Chr6	11461657	11461884	11461736	11461884	+	AltD
Chr1	26223989	26224698	26224371	26224698	+	AltD
Chr8	8416479	8416327	8416429	8416327	-	AltD
Chr3	12869504	12869998	12869611	12869998	+	AltD
Chr1	37580706	37580838	37580752	37580838	+	AltD
Chr8	2789558	2789375	2789485	2789375	-	AltD
Chr1	35713392	35712415	35713186	35712415	-	AltD
Chr9	22240569	22241397	22240624	22241397	+	AltD
Chr2	4379275	4379433	4379353	4379433	+	AltD
Chr2	28015744	28015337	28015705	28015337	-	AltD
Chr4	16452906	16454037	16452928	16454037	+	AltD
Chr12	23104021	23104286	23104026	23104286	+	AltD
Chr11	12849865	12850445	12849932	12850445	+	AltD
Chr8	20213583	20213746	20213657	20213746	+	AltD
Chr8	25974414	25974120	25974410	25974120	-	AltD
Chr12	3300108	3299552	3300100	3299552	-	AltD
Chr11	8381958	8381806	8381955	8381806	-	AltD
Chr2	6981814	6983603	6983434	6983603	+	AltD
Chr3	23089119	23089470	23089168	23089470	+	AltD
Chr3	16044319	16044490	16044360	16044490	+	AltD
Chr7	15072821	15072570	15072786	15072570	-	AltD
Chr4	15516584	15518173	15517541	15518173	+	AltD
Chr5	18034156	18034034	18034145	18034034	-	AltD
Chr6	183792	184203	183828	184203	+	AltD
Chr2	28794167	28791312	28793082	28791312	-	AltD
Chr7	28660440	28660739	28660644	28660739	+	AltD
Chr6	22308666	22310635	22309921	22310635	+	AltD
Chr5	696916	697599	696937	697599	+	AltD
Chr4	31203973	31205377	31204034	31205377	+	AltD
Chr4	8086151	8085603	8086033	8085603	-	AltD
Chr2	35234395	35234543	35234402	35234543	+	AltD
Chr9	15611099	15616155	15611256	15616155	+	AltD
Chr1	31086457	31086379	31086452	31086379	-	AltD
Chr1	28176946	28177038	28176950	28177038	+	AltD
Chr5	9449323	9450615	9450052	9450615	+	AltD
Chr3	12595199	12594724	12595148	12594724	-	AltD
Chr11	1473945	1473493	1473902	1473493	-	AltD
Chr4	16101203	16101487	16101387	16101487	+	AltD
Chr6	30909787	30909682	30909782	30909682	-	AltD
Chr10	21443509	21442797	21443200	21442797	-	AltD
Chr5	1515748	1516383	1516176	1516383	+	AltD
Chr8	1284951	1284695	1284775	1284695	-	AltD
Chr2	22421175	22421643	22421260	22421643	+	AltD
Chr7	6317244	6316957	6317211	6316957	-	AltD
Chr2	33974969	33975500	33975146	33975500	+	AltD
Chr3	28573637	28573348	28573629	28573348	-	AltD
Chr12	12845424	12845977	12845424	12846161	+	AltA
Chr2	35356697	35356830	35356697	35356833	+	AltA
Chr5	255805	256208	255805	256252	+	AltA
Chr3	15963554	15963664	15963554	15963700	+	AltA
Chr1	9884420	9884699	9884420	9884847	+	AltA
Chr4	29072261	29072583	29072261	29072586	+	AltA
Chr2	23528603	23528634	23528603	23528676	+	AltA
Chr1	35582761	35582863	35582761	35583624	+	AltA
Chr2	1347811	1347504	1347811	1347460	-	AltA
Chr1	42665788	42665704	42665788	42665661	-	AltA
Chr5	7850118	7849914	7850118	7849439	-	AltA
Chr7	29093082	29092991	29093082	29092988	-	AltA
Chr7	28633129	28633022	28633129	28633014	-	AltA
