chr	coord1	coord2	coord3	coord4	strand	type
chr16	28872705	28873170	28872758	28873170	+	AltD
chr5	119634252	119635028	119634734	119635028	+	AltD
chrX	101659419	101659148	101659408	101659148	-	AltD
chr17	1057970	1057102	1057844	1057102	-	AltD
chrX	40681852	40680910	40681848	40680910	-	AltD
chr2	199948337	199943834	199948318	199943834	-	AltD
chr2	230713802	230759959	230714058	230759959	+	AltD
chr14	100944872	100947034	100944925	100947034	+	AltD
chr4	521852	522008	521941	522008	+	AltD
chr10	13652882	13654353	13652929	13654353	+	AltD
chr12	9692931	9694760	9693948	9694760	+	AltD
chr1	10949702	10948844	10949624	10948844	-	AltD
chr8	11861406	11853479	11861361	11853479	-	AltD
chr11	117295263	117293933	117295131	117293933	-	AltD
chr1	109491717	109492586	109492104	109492586	+	AltD
chr19	13144768	13144671	13144764	13144671	-	AltD
chr12	122976963	122978325	122977166	122978325	+	AltD
chr12	88142396	88148288	88142487	88148288	+	AltD
chr3	146600324	146595083	146600288	146595083	-	AltD
chr19	49490576	49490779	49490600	49490779	+	AltD
chr22	24762398	24759989	24762307	24759989	-	AltD
chr17	75914830	75914298	75914747	75914298	-	AltD
chr2	241269201	241268541	241268829	241268541	-	AltD
chr16	5033341	5031884	5033273	5031884	-	AltD
chrX	48898082	48898492	48898093	48898492	+	AltD
chr4	141222477	141224487	141222491	141224487	+	AltD
chrX	136640840	136642103	136640873	136642103	+	AltD
chr19	19316422	19310200	19316247	19310200	-	AltD
chr2	95277496	95277930	95277566	95277930	+	AltD
chr17	43125277	43124115	43125271	43124115	-	AltD
chr2	85558539	85556260	85558440	85556260	-	AltD
chrX	53431988	53431594	53431974	53431594	-	AltD
chr16	23495714	23494378	23495689	23494378	-	AltD
chr3	159765099	159866163	159765138	159866163	+	AltD
chr2	1903120	1892287	1903080	1892287	-	AltD
chrX	41357939	41364274	41358000	41364274	+	AltD
chr12	59689390	59704772	59689470	59704772	+	AltD
chr5	69369463	69366595	69369228	69366595	-	AltD
chr7	117209922	117219084	117209937	117219084	+	AltD
chr10	13645074	13648085	13645136	13648085	+	AltD
chrX	108151858	108152979	108152005	108152979	+	AltD
chr3	195708435	195708747	195708513	195708747	+	AltD
chr14	24115726	24116972	24115749	24116972	+	AltD
chr1	964167	964349	964180	964349	+	AltD
chr15	63043831	63056985	63044152	63056985	+	AltD
chr15	44758803	44759640	44758854	44759640	+	AltD
chr9	6536064	6534788	6535947	6534788	-	AltD
chr18	62088756	62085264	62088391	62085264	-	AltD
chr3	50348527	50348410	50348523	50348410	-	AltD
chr15	43792578	43792975	43792611	43792975	+	AltD
chr4	142208447	142193195	142208425	142193195	-	AltD
chr2	70086222	70085624	70086055	70085624	-	AltD
chr17	38365409	38366287	38366033	38366287	+	AltD
chr3	15440435	15439388	15440261	15439388	-	AltD
chr11	65867021	65866712	65866866	65866712	-	AltD
chr12	50474107	50475526	50474167	50475526	+	AltD
chr19	9857387	9856913	9857263	9856913	-	AltD
chr19	51060044	51058674	51059745	51058674	-	AltD
chr19	49556875	49556425	49556549	49556425	-	AltD
chr14	24267870	24267776	24267866	24267776	-	AltD
chr19	1632038	1627426	1631951	1627426	-	AltD
chr17	8837819	8836923	8837803	8836923	-	AltD
chr7	44034176	44030901	44034012	44030901	-	AltD
chr3	149895560	149902072	149895570	149902072	+	AltD
chr17	16439414	16440185	16439703	16440185	+	AltD
chr8	37847303	37847175	37847274	37847175	-	AltD
chr1	171710760	171709744	171710714	171709744	-	AltD
chr17	65208007	65210488	65208011	65210488	+	AltD
chr17	76733377	76733521	76733381	76733521	+	AltD
chr16	67963465	67961706	67963437	67961706	-	AltD
chr17	39742716	39743180	39743054	39743180	+	AltD
chr5	477336	477806	477465	477806	+	AltD
chrX	56995281	56994949	56995216	56994949	-	AltD
chr5	148065372	148070323	148065475	148070323	+	AltD
chr12	86013727	86011902	86013681	86011902	-	AltD
chr5	177750959	177748699	177750909	177748699	-	AltD
chr3	53800365	53801212	53800859	53801212	+	AltD
chr22	38639655	38638822	38639615	38638822	-	AltD
chr4	74309155	74312185	74309182	74312185	+	AltD
chr19	46747681	46748027	46747732	46748027	+	AltD
chr3	129171655	129171538	129171652	129171538	-	AltD
chr6	138406033	138412880	138406151	138412880	+	AltD
chr19	54276264	54276003	54276247	54276003	-	AltD
chr15	42585634	42634856	42585637	42634856	+	AltD
chr8	109334402	109336128	109334474	109336128	+	AltD
chr7	151193291	151192829	151193197	151192829	-	AltD
chr16	2979816	2977031	2979648	2977031	-	AltD
chr4	127920457	127919338	127920453	127919338	-	AltD
chr10	114297232	114297100	114297220	114297100	-	AltD
chr15	34527925	34527834	34527922	34527834	-	AltD
chr3	10331983	10329125	10331911	10329125	-	AltD
chr15	83119681	83121921	83119734	83121921	+	AltD
chr17	7586777	7587161	7586838	7587161	+	AltD
chr3	49862332	49862176	49862294	49862176	-	AltD
chr19	14529222	14527810	14529210	14527810	-	AltD
chr5	154858768	154863207	154858797	154863207	+	AltD
chr9	34458237	34405964	34458204	34405964	-	AltD
chrX	134896817	134891640	134896814	134891640	-	AltD
chr3	183862753	183856551	183862697	183856551	-	AltD
chr1	151346482	151346333	151346422	151346333	-	AltD
chr17	81084893	81085583	81084893	81085654	+	AltA
chr3	47097955	47088249	47097955	47088247	-	AltA
chr15	49625431	49632159	49625431	49632171	+	AltA
chr17	6707028	6706900	6707028	6706778	-	AltA
chr6	30259697	30259815	30259697	30259927	+	AltA
chr19	1615686	1615515	1615686	1615485	-	AltA
chr1	204974290	204974568	204974290	204974657	+	AltA
chr14	75004900	75005866	75004900	75005897	+	AltA
